frame,time_sec,event,raw_state,stable_state_before,stable_state_after,has_inside,has_near,event_time_source
0,0.0,APPROACH,APPROACH,EMPTY,APPROACH,1,0,inference
15,1.0000003486507218,OCCUPIED,OCCUPIED,APPROACH,OCCUPIED,1,0,inference
2775,185.00006450038353,EMPTY,EMPTY,OCCUPIED,EMPTY,0,0,inference
2847,189.800066173907,APPROACH,APPROACH,EMPTY,APPROACH,1,0,inference
2862,190.8000665225577,OCCUPIED,OCCUPIED,APPROACH,OCCUPIED,1,0,inference
2949,196.6000685447319,EMPTY,EMPTY,OCCUPIED,EMPTY,0,0,inference
3003,200.20006979987448,APPROACH,APPROACH,EMPTY,APPROACH,1,0,inference
3018,201.2000701485252,OCCUPIED,OCCUPIED,APPROACH,OCCUPIED,1,0,inference
3036,202.40007056690607,EMPTY,EMPTY,OCCUPIED,EMPTY,0,0,inference
3063,204.20007119447737,APPROACH,APPROACH,EMPTY,APPROACH,0,1,inference
3102,206.80007210096926,OCCUPIED,OCCUPIED,APPROACH,OCCUPIED,1,0,inference
3183,212.20007398368315,EMPTY,EMPTY,OCCUPIED,EMPTY,0,0,inference
3201,213.400074402064,APPROACH,APPROACH,EMPTY,APPROACH,0,1,inference
3330,222.0000774004602,EMPTY,EMPTY,APPROACH,EMPTY,0,0,inference
5958,397.20013848406666,APPROACH,APPROACH,EMPTY,APPROACH,0,1,inference
6117,407.80014217976435,EMPTY,EMPTY,APPROACH,EMPTY,0,0,inference
6135,409.0001425981452,APPROACH,APPROACH,EMPTY,APPROACH,1,1,inference
6225,415.0001446900495,EMPTY,EMPTY,APPROACH,EMPTY,0,0,inference
6963,464.20016184366506,APPROACH,APPROACH,EMPTY,APPROACH,0,1,inference
6981,465.4001622620459,EMPTY,EMPTY,APPROACH,EMPTY,0,0,inference
8679,578.6002017293076,APPROACH,APPROACH,EMPTY,APPROACH,0,1,inference
8757,583.8002035422913,EMPTY,EMPTY,APPROACH,EMPTY,0,0,inference
8844,589.6002055644656,APPROACH,APPROACH,EMPTY,APPROACH,1,0,inference
8865,591.0002060525766,EMPTY,EMPTY,APPROACH,EMPTY,0,0,inference
8946,596.4002079352905,APPROACH,APPROACH,EMPTY,APPROACH,1,1,inference
8961,597.4002082839412,OCCUPIED,OCCUPIED,APPROACH,OCCUPIED,1,1,inference
9006,600.4002093298933,EMPTY,EMPTY,OCCUPIED,EMPTY,0,0,inference
